brand,category,date,discount,id_product,name,perc_discount,price,price_discount
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000411719784,Camisa de hombre classic lisa azul claro,0.0,105.0,105.0
Mirto,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001004280116288,Chino de hombre Mirto regular piedra,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000412739823,Camisa de hombre classic de rayas azul índigo,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000411719750,Camisa de hombre classic lisa verde,0.0,105.0,105.0
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000413755042,Camisa de hombre de cuadros rosa,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001004240120131,Vaquero de hombre Mirto regular azul,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000483405924,Camisa de hombre classic de cuadros azul marino,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Cazadoras",2022-04-11,0.0,001004858002936,Cazadora estilo Harrington marinera hombre kaki doble bolsillo,0.0,225.0,225.0
Mirto,"Moda hombre,Ropa,Cazadoras",2022-04-11,0.0,001004858002944,Cazadora estilo Harrington marinera hombre azul doble bolsillo,0.0,225.0,225.0
Mirto,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001004981250246,Polo de hombre classic azul de manga corta,0.0,79.9,79.9
Polo Ralph Lauren,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001024905325213,Camisa de hombre de algodón BCI regular fit,0.0,119.0,119.0
Polo Ralph Lauren,"Moda hombre,Ropa,Chalecos",2022-04-11,0.0,001024908201106,Chaleco de termo pluma de hombre de nailon reciclado plegable,0.0,249.0,249.0
Hackett,"Moda hombre,Ropa,Sudaderas y Chándals,Sudaderas sin capucha",2022-04-11,0.0,001052206500440,Sudadera de hombre AMR en color azul marino con logo estampado,0.0,95.0,95.0
Mirto,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001004981250154,Polo de hombre classic fucsia de manga corta,0.0,79.9,79.9
Mirto,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001004280116312,Chino de hombre Mirto regular gris,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001004981250121,Polo de hombre classic blanco de manga corta,0.0,79.9,79.9
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000413625450,Camisa de vestir de hombre classic de cuadros azul marino,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000412739724,Camisa de hombre de rayas azul,0.0,110.0,110.0
Mirto,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001000412645418,Camisa de hombre classic de rayas azul,0.0,89.9,89.9
Mirto,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001004240120149,Vaquero de hombre Mirto regular azul,0.0,99.0,99.0
Mirto,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001004981505862,Camiseta de hombre de algodón orgánico azul de manga corta,0.0,39.9,39.9
Mirto,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001004981250212,Polo de hombre classic azul de manga corta,0.0,79.9,79.9
Polo Ralph Lauren,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001024905205480,Camisa de hombre de algodón BCI classic fit,0.0,169.0,169.0
G-Star Raw,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001012210106154,Chino Vetar de hombre slim azul,0.0,89.95,89.95
